U+2157	⅗	五分之三
U+2156	⅖	五分之二
U+2155	⅕	五分之一
U+2154	⅔	三分之二
U+2153	⅓	三分之一
U+2152	⅒	十分之一
U+2151	⅑	九分之一
U+2150	⅐	七分之一
U+213B	℻	传真符号 传真
U+212E	℮	估计
U+212B	Å	埃
U+212A	K	开尔文
U+2127	℧	欧姆
U+2126	Ω	欧姆 电阻
U+2125	℥	盎司
U+2123	℣	短句
U+2122	™	商标
U+2121	℡	电话
U+2120	℠	服务
U+211F	℟	响应
U+211E	℞	处方
U+2117	℗	录音版权所有 版权
U+2116	№	编号
U+2114	℔	lblb
U+210F	ℏ	普朗克常量除以二这
U+210E	ℎ	普朗克常量
U+2109	℉	华氏度
U+2108	℈	斯克鲁普尔
U+2107	ℇ	欧拉
U+2105	℅	转交
U+2104	℄	中心线
U+2103	℃	摄氏度
U+2102	ℂ	cccc
U+2101	℁	针对主题
U+2100	℀	帐户
U+203B	※	星
U+2026	…	省略号
U+2025	‥	两点
U+2022	•	一点
U+2021	‡	双叉号
U+2020	†	叉号 十字
U+2016	‖	竖线
U+10E6	ღ	爱心
U+00F7	÷	除号 除
U+00D7	×	乘号 乘
U+00B6	¶	段落
