U+1F471-200D-2642-FE0F	👱‍♂️	金发男 男人 金发男人 金发男子
U+1F9D3	🧓	老年人 老人 成人
U+1F474	👴	老爷爷 老人 外公 姥爷 祖父 老头 老头儿
U+1F475	👵	老奶奶 老人 外婆 姥姥 祖母 老太 老太太
U+1F64D	🙍	皱眉
U+1F64D-200D-2642-FE0F	🙍‍♂️	皱眉男 皱眉 皱着眉头 皱着眉头的人
U+1F64D-200D-2640-FE0F	🙍‍♀️	皱眉女 皱眉 皱着眉头 皱着眉头的人
U+1F64E	🙎	撅嘴 生气 噘嘴
U+1F64E-200D-2642-FE0F	🙎‍♂️	撅嘴男 撅嘴 生气 噘嘴的人
U+1F64E-200D-2640-FE0F	🙎‍♀️	撅嘴女 撅嘴 生气 噘嘴的人
U+1F645	🙅	禁止手势 禁止 不行 反对
U+1F645-200D-2642-FE0F	🙅‍♂️	禁止手势男 禁止 不 不可以 不同意 打咩 拒绝 禁止手势
U+1F645-200D-2640-FE0F	🙅‍♀️	禁止手势女 禁止 不 不可以 不同意 打咩 拒绝 禁止手势
U+1F646	🙆	手势 okok 好的
U+1F646-200D-2642-FE0F	🙆‍♂️	手势男 手势 okok
U+1F646-200D-2640-FE0F	🙆‍♀️	手势女 手势 okok
U+1F481	💁	前台 帮助
U+1F481-200D-2642-FE0F	💁‍♂️	前台男 前台 服务员 服务生 男服务员 男服务生
U+1F481-200D-2640-FE0F	💁‍♀️	前台女 前台 女服务员 女服务生
U+1F64B	🙋	举手
U+1F64B-200D-2642-FE0F	🙋‍♂️	男生举手 举手 我知道 这个我知道
U+1F64B-200D-2640-FE0F	🙋‍♀️	女生举手 举手 我知道 这个我知道
U+1F9CF	🧏	失聪者 失聪 聋子 耳聋 听力 耳朵
U+1F9CF-200D-2642-FE0F	🧏‍♂️	失聪的男人 失聪 聋子 耳聋 失聪者
U+1F9CF-200D-2640-FE0F	🧏‍♀️	失聪的女人 失聪 聋子 耳聋 失聪者
U+1F647	🙇	鞠躬 对不起 道歉
U+1F647-200D-2642-FE0F	🙇‍♂️	男生鞠躬 鞠躬 不好意思 跪求
U+1F647-200D-2640-FE0F	🙇‍♀️	女生鞠躬 鞠躬 不好意思 跪求
U+1F926	🤦	捂脸
U+1F926-200D-2642-FE0F	🤦‍♂️	男生捂脸 捂脸 我服了 我服了你 我服了你了 手掌捂脸 扶额
U+1F926-200D-2640-FE0F	🤦‍♀️	女生捂脸 捂脸 我服了 我服了你 我服了你了 手掌捂脸 扶额
U+1F937	🤷	耸肩 不关心 怀疑 无视
U+1F937-200D-2642-FE0F	🤷‍♂️	男生耸肩 耸肩 不知道 与我无关 谁知道 谁知道呢
U+1F937-200D-2640-FE0F	🤷‍♀️	女生耸肩 耸肩 不知道 与我无关 谁知道 谁知道呢
U+1F9D1-200D-2695-FE0F	🧑‍⚕️	卫生工作者 医生
U+1F468-200D-2695-FE0F	👨‍⚕️	男医生 医生 医护人员 大夫 男医护人员 男大夫
U+1F469-200D-2695-FE0F	👩‍⚕️	女医生 医生 医护人员 大夫 女医护人员 女大夫
U+1F9D1-200D-1F393	🧑‍🎓	学生
U+1F468-200D-1F393	👨‍🎓	男学生 学生 大学生 本科生 毕业
U+1F469-200D-1F393	👩‍🎓	女学生 学生 大学生 本科生 毕业
U+1F9D1-200D-1F3EB	🧑‍🏫	老师
U+1F468-200D-1F3EB	👨‍🏫	男老师 老师 教师 男教师
U+1F469-200D-1F3EB	👩‍🏫	女老师 老师 女教师
U+1F9D1-200D-2696-FE0F	🧑‍⚖️	法官
U+1F468-200D-2696-FE0F	👨‍⚖️	男法官 法官
U+1F469-200D-2696-FE0F	👩‍⚖️	女法官 法官
U+1F9D1-200D-1F33E	🧑‍🌾	农民
U+1F468-200D-1F33E	👨‍🌾	农夫 农民
U+1F469-200D-1F33E	👩‍🌾	农妇 农民
U+1F9D1-200D-1F373	🧑‍🍳	厨师
U+1F468-200D-1F373	👨‍🍳	男厨师 厨师 下厨 做饭 大厨
U+1F469-200D-1F373	👩‍🍳	女厨师 厨师 下厨 做饭 大厨
U+1F9D1-200D-1F527	🧑‍🔧	技工
U+1F468-200D-1F527	👨‍🔧	男技工 技工 修理工 水管工 电工 男修理工 男水管工 男电工
U+1F469-200D-1F527	👩‍🔧	女技工 技工 修理工 女修理工 女水管工 女电工
U+1F9D1-200D-1F3ED	🧑‍🏭	工人
U+1F468-200D-1F3ED	👨‍🏭	男工人 工人 工厂工人 男工厂工人
U+1F469-200D-1F3ED	👩‍🏭	女工人 工人 女工厂工人
U+1F9D1-200D-1F4BC	🧑‍💼	白领
U+1F468-200D-1F4BC	👨‍💼	男白领 白领 办公室职员 男办公室职员 男职员
U+1F469-200D-1F4BC	👩‍💼	女白领 白领 办公室职员 女办公室职员 女职员
U+1F9D1-200D-1F52C	🧑‍🔬	科学家
U+1F468-200D-1F52C	👨‍🔬	男科学家 科学家 化学家 男化学家
U+1F469-200D-1F52C	👩‍🔬	女科学家 科学家 化学家 女化学家
U+1F9D1-200D-1F4BB	🧑‍💻	程序员
